Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-12 14:35:00-05:00,185.84,185.88,185.8,185.85,185.85,151522
2024-01-12 14:40:00-05:00,185.85,185.94,185.84,185.9,185.9,296974
2024-01-12 14:45:00-05:00,185.9014,185.92,185.82,185.895,185.895,132595
2024-01-12 14:50:00-05:00,185.89,185.91,185.81,185.8889,185.8889,135137
2024-01-12 14:55:00-05:00,185.8866,185.935,185.81,185.89,185.89,135450
2024-01-12 15:00:00-05:00,185.895,185.97,185.87,185.97,185.97,168504
2024-01-12 15:05:00-05:00,185.9701,186,185.915,185.9802,185.9802,251685
2024-01-12 15:10:00-05:00,185.99,186.02,185.94,185.965,185.965,268524
2024-01-12 15:15:00-05:00,185.96,186.0669,185.94,185.963,185.963,123630
2024-01-12 15:20:00-05:00,185.965,185.98,185.63,185.8,185.8,308559
2024-01-12 15:25:00-05:00,185.8,185.8066,185.6,185.61,185.61,179790
2024-01-12 15:30:00-05:00,185.61,185.61,185.34,185.4204,185.4204,359375
2024-01-12 15:35:00-05:00,185.42,185.475,185.31,185.38,185.38,266995
2024-01-12 15:40:00-05:00,185.39,185.43,185.29,185.3,185.3,489231
2024-01-12 15:45:00-05:00,185.305,185.4199,185.28,185.41,185.41,221619
2024-01-12 15:50:00-05:00,185.4001,185.51,185.4,185.42,185.42,225249
2024-01-12 15:55:00-05:00,185.42,185.4299,185.26,185.315,185.315,267855
2024-01-12 16:00:00-05:00,185.31,185.33,185.22,185.325,185.325,213920
2024-01-12 16:05:00-05:00,185.32,185.49,185.29,185.38,185.38,204641
2024-01-12 16:10:00-05:00,185.38,185.5,185.33,185.48,185.48,189788
2024-01-12 16:15:00-05:00,185.47,185.5,185.36,185.415,185.415,221739
2024-01-12 16:20:00-05:00,185.41,185.47,185.35,185.44,185.44,225115
2024-01-12 16:25:00-05:00,185.45,185.55,185.444,185.515,185.515,366568
2024-01-12 16:30:00-05:00,185.52,185.665,185.4659,185.665,185.665,428375
2024-01-12 16:35:00-05:00,185.67,185.68,185.57,185.6,185.6,300844
2024-01-12 16:40:00-05:00,185.6,185.71,185.51,185.68,185.68,442396
2024-01-12 16:45:00-05:00,185.68,185.73,185.565,185.66,185.66,374090
2024-01-12 16:50:00-05:00,185.66,185.94,185.58,185.851,185.851,650343
2024-01-12 16:55:00-05:00,185.85,185.98,185.72,185.91,185.91,1860325
2024-01-16 10:30:00-05:00,182.16,182.62,181.83,182.12,182.12,2590281
2024-01-16 10:35:00-05:00,182.12,182.66,182.01,182.09,182.09,1234956
2024-01-16 10:40:00-05:00,182.09,182.41,181.94,182.27,182.27,716695
2024-01-16 10:45:00-05:00,182.25,182.25,181.09,181.094,181.094,1412079
2024-01-16 10:50:00-05:00,181.105,181.39,180.934,181.305,181.305,1090704
2024-01-16 10:55:00-05:00,181.305,181.38,181.121,181.325,181.325,698270
2024-01-16 11:00:00-05:00,181.355,181.73,181.03,181.17,181.17,1082699
2024-01-16 11:05:00-05:00,181.175,181.48,181.05,181.465,181.465,633226
2024-01-16 11:10:00-05:00,181.47,181.91,181.34,181.835,181.835,714904
2024-01-16 11:15:00-05:00,181.8313,182.06,181.625,182.035,182.035,677584
2024-01-16 11:20:00-05:00,182.04,182.5,181.94,182.48,182.48,806359
2024-01-16 11:25:00-05:00,182.48,182.85,182.41,182.78,182.78,801222
2024-01-16 11:30:00-05:00,182.77,182.96,182.57,182.6966,182.6966,755402
2024-01-16 11:35:00-05:00,182.7,183.2,182.52,183.069,183.069,785894
2024-01-16 11:40:00-05:00,183.07,183.4597,183.06,183.151,183.151,603415
2024-01-16 11:45:00-05:00,183.155,183.86,183.155,183.8216,183.8216,705235
2024-01-16 11:50:00-05:00,183.82,183.9,183.75,183.785,183.785,771815
2024-01-16 11:55:00-05:00,183.785,183.8899,183.74,183.775,183.775,587690
2024-01-16 12:00:00-05:00,183.78,184.185,183.47,184.185,184.185,1199613
2024-01-16 12:05:00-05:00,183.54,183.58,183.35,183.4261,183.4261,464379
2024-01-16 12:10:00-05:00,183.44,183.51,182.945,183.41,183.41,368774
2024-01-16 12:15:00-05:00,183.405,183.78,183.2777,183.655,183.655,454920
2024-01-16 12:20:00-05:00,183.65,184.05,183.615,184.0001,184.0001,446108
2024-01-16 12:25:00-05:00,184.0057,184.0971,183.91,183.935,183.935,323095
2024-01-16 12:30:00-05:00,183.95,184.16,183.81,183.82,183.82,396952
2024-01-16 12:35:00-05:00,183.83,183.918,183.455,183.625,183.625,359631
2024-01-16 12:40:00-05:00,183.62,183.78,183.42,183.4998,183.4998,269038
2024-01-16 12:45:00-05:00,183.5,183.533,183.21,183.245,183.245,300339
2024-01-16 12:50:00-05:00,183.24,183.32,183.025,183.0318,183.0318,278355
2024-01-16 12:55:00-05:00,183.03,183.08,182.77,182.9,182.9,426766
2024-01-16 13:00:00-05:00,182.89,182.95,182.6,182.643,182.643,448732
2024-01-16 13:05:00-05:00,182.64,182.65,182.38,182.48,182.48,455073
2024-01-16 13:10:00-05:00,182.485,182.65,182.38,182.5,182.5,381469
2024-01-16 13:15:00-05:00,182.5,182.67,182.44,182.555,182.555,395697
2024-01-16 13:20:00-05:00,182.5699,182.6698,182.49,182.625,182.625,339045
2024-01-16 13:25:00-05:00,182.63,182.63,182.405,182.42,182.42,334027
2024-01-16 13:30:00-05:00,182.415,182.45,182.22,182.345,182.345,420692
2024-01-16 13:35:00-05:00,182.34,182.6,182.3126,182.52,182.52,291544
2024-01-16 13:40:00-05:00,182.53,182.545,182.35,182.36,182.36,204946
2024-01-16 13:45:00-05:00,182.37,182.445,182.2464,182.27,182.27,268214
2024-01-16 13:50:00-05:00,182.26,182.48,182.245,182.39,182.39,288561
2024-01-16 13:55:00-05:00,182.3789,182.4591,182.24,182.255,182.255,238660
2024-01-16 14:00:00-05:00,182.26,182.3695,182.21,182.31,182.31,319667
2024-01-16 14:05:00-05:00,182.315,182.485,182.265,182.47,182.47,259499
2024-01-16 14:10:00-05:00,182.47,182.58,182.4,182.575,182.575,241477
2024-01-16 14:15:00-05:00,182.57,182.93,182.563,182.67,182.67,481442
2024-01-16 14:20:00-05:00,182.675,182.69,182.49,182.575,182.575,311858
2024-01-16 14:25:00-05:00,182.58,182.75,182.49,182.735,182.735,206031
2024-01-16 14:30:00-05:00,182.75,182.9499,182.74,182.925,182.925,293588
2024-01-16 14:35:00-05:00,182.92,182.93,182.621,182.64,182.64,270471
2024-01-16 14:40:00-05:00,182.63,182.6697,182.53,182.5674,182.5674,279964
2024-01-16 14:45:00-05:00,182.56,182.57,182.42,182.48,182.48,239979
2024-01-16 14:50:00-05:00,182.48,182.52,182.275,182.34,182.34,260273
2024-01-16 14:55:00-05:00,182.33,182.43,182.3,182.395,182.395,199620
2024-01-16 15:00:00-05:00,182.4,182.54,182.35,182.36,182.36,247863
2024-01-16 15:05:00-05:00,182.36,182.615,182.32,182.56,182.56,270523
2024-01-16 15:10:00-05:00,182.56,182.59,182.26,182.34,182.34,287510
2024-01-16 15:15:00-05:00,182.33,182.36,182.14,182.1501,182.1501,237888
2024-01-16 15:20:00-05:00,182.155,182.3501,182.1541,182.34,182.34,246784
2024-01-16 15:25:00-05:00,182.34,182.55,182.31,182.4586,182.4586,346515
2024-01-16 15:30:00-05:00,182.455,182.5,182.27,182.4899,182.4899,281469
2024-01-16 15:35:00-05:00,182.49,182.5881,182.44,182.555,182.555,313895
2024-01-16 15:40:00-05:00,182.57,182.75,182.55,182.74,182.74,353146
2024-01-16 15:45:00-05:00,182.745,182.9,182.65,182.8675,182.8675,345321
2024-01-16 15:50:00-05:00,182.87,182.93,182.84,182.8933,182.8933,269139
2024-01-16 15:55:00-05:00,182.88,182.94,182.86,182.9,182.9,249269
2024-01-16 16:00:00-05:00,182.9,183.04,182.835,182.89,182.89,304944
2024-01-16 16:05:00-05:00,182.8801,183.045,182.86,183.04,183.04,252624
2024-01-16 16:10:00-05:00,183.04,183.13,182.9101,182.94,182.94,248476
2024-01-16 16:15:00-05:00,182.936,183.085,182.9,183.075,183.075,263627
2024-01-16 16:20:00-05:00,183.08,183.1862,183.02,183.13,183.13,235334
2024-01-16 16:25:00-05:00,183.125,183.26,183.11,183.17,183.17,296967
2024-01-16 16:30:00-05:00,183.18,183.27,183.135,183.19,183.19,290578
2024-01-16 16:35:00-05:00,183.19,183.46,183.1801,183.4181,183.4181,428956
2024-01-16 16:40:00-05:00,183.415,183.43,183.28,183.37,183.37,398289
2024-01-16 16:45:00-05:00,183.365,183.47,183.24,183.3,183.3,425940
2024-01-16 16:50:00-05:00,183.29,183.62,183.26,183.55,183.55,744633
2024-01-16 16:55:00-05:00,183.55,183.63,183.4,183.63,183.63,9267945
2024-01-17 10:30:00-05:00,181.27,181.56,180.39,180.67,180.67,2128447
2024-01-17 10:35:00-05:00,180.66,180.9656,180.53,180.61,180.61,915237
2024-01-17 10:40:00-05:00,180.61,180.94,180.3,180.3954,180.3954,712583
2024-01-17 10:45:00-05:00,180.4098,180.8781,180.39,180.87,180.87,748208
2024-01-17 10:50:00-05:00,180.87,181.52,180.75,180.925,180.925,1088715
2024-01-17 10:55:00-05:00,180.925,181.2929,180.8407,181.26,181.26,616408
2024-01-17 11:00:00-05:00,181.24,181.6401,181.19,181.6,181.6,678499
2024-01-17 11:05:00-05:00,181.605,181.695,181.38,181.43,181.43,570818
2024-01-17 11:10:00-05:00,181.435,181.8,181.35,181.77,181.77,535753
2024-01-17 11:15:00-05:00,181.7741,181.84,181.61,181.7723,181.7723,456764
2024-01-17 11:20:00-05:00,181.75,181.75,181.3701,181.4855,181.4855,431602
2024-01-17 11:25:00-05:00,181.485,181.84,181.41,181.7,181.7,448231
2024-01-17 11:30:00-05:00,181.685,181.75,181.53,181.6201,181.6201,400480
2024-01-17 11:35:00-05:00,181.6,181.82,181.3,181.775,181.775,481447
2024-01-17 11:40:00-05:00,181.77,181.85,181.58,181.58,181.58,300306
2024-01-17 11:45:00-05:00,181.579,181.84,181.53,181.6402,181.6402,397824
2024-01-17 11:50:00-05:00,181.645,181.7556,181.4555,181.4777,181.4777,374696
2024-01-17 11:55:00-05:00,181.48,181.51,181.36,181.4919,181.4919,423540
2024-01-17 12:00:00-05:00,181.4997,181.86,181.485,181.835,181.835,403943
2024-01-17 12:05:00-05:00,181.8301,181.925,181.78,181.82,181.82,526630
2024-01-17 12:10:00-05:00,181.82,182.065,181.81,181.825,181.825,404766
2024-01-17 12:15:00-05:00,181.8381,181.84,181.595,181.66,181.66,440424
2024-01-17 12:20:00-05:00,181.67,181.97,181.66,181.89,181.89,323750
2024-01-17 12:25:00-05:00,181.895,181.91,181.765,181.805,181.805,306556
2024-01-17 12:30:00-05:00,181.81,181.91,181.745,181.8549,181.8549,305501
2024-01-17 12:35:00-05:00,181.855,181.9133,181.7,181.8056,181.8056,348934
2024-01-17 12:40:00-05:00,181.805,181.85,181.61,181.695,181.695,253996
2024-01-17 12:45:00-05:00,181.7,181.78,181.61,181.7699,181.7699,294197
2024-01-17 12:50:00-05:00,181.77,181.81,181.488,181.5129,181.5129,346664
2024-01-17 12:55:00-05:00,181.52,181.74,181.51,181.73,181.73,281232
2024-01-17 13:00:00-05:00,181.74,181.91,181.74,181.8255,181.8255,387619
2024-01-17 13:05:00-05:00,181.825,181.9471,181.805,181.8484,181.8484,249069
2024-01-17 13:10:00-05:00,181.85,182.2,181.82,182.14,182.14,371264
2024-01-17 13:15:00-05:00,182.145,182.2488,182.08,182.245,182.245,238039
2024-01-17 13:20:00-05:00,182.245,182.33,182.06,182.135,182.135,283998
2024-01-17 13:25:00-05:00,182.13,182.22,182.01,182.12,182.12,223082
2024-01-17 13:30:00-05:00,182.12,182.26,182.0424,182.135,182.135,168693
2024-01-17 13:35:00-05:00,182.135,182.14,181.9977,182.01,182.01,201297
2024-01-17 13:40:00-05:00,182.015,182.04,181.83,181.94,181.94,274184
2024-01-17 13:45:00-05:00,181.935,182.04,181.8345,181.98,181.98,194035
2024-01-17 13:50:00-05:00,181.98,182.2291,181.97,182.21,182.21,244943
